מס' חומר,סוג החומרים (תיאור הפריט או הסוג),המכלול בו משתלב הפריט המבוקש,מחיר יחידה בש"ח,כמות,קוד מחיר,האם ההוצאה היא לצד קשור?,הסכום המבוקש בש"ח
1,סוללת ליתיום-יון נטענת 3.7V 500mAh,מערכת החשמל,30,5,,לא,150
2,אלקטרודות גרייה עוריות מותאמות לאזור הרטרואוריקולרי,מערכת הגרייה,50,10,,לא,500
3,מעגל מודפס (PCB) מותאם אישית,מערכת הבקרה,200,5,,לא,1000
4,מיקרו-בקר (ESP32),מערכת הבקרה,40,5,,לא,200
5,נגדים, קבלים ורכיבים פסיביים נוספים,מערכת הבקרה,0.5,100,,לא,50
6,מודול בלוטות' לתקשורת אלחוטית,מערכת התקשורת,60,5,,לא,300
7,חיישן דופק (PPG) למדידת קצב לב,מערכת הניטור,70,5,,לא,350
8,מארז פלסטי מותאם אישית,מעטפת חיצונית,150,5,,לא,750
9,כבל USB לטעינה והעברת נתונים,מערכת החשמל,10,5,,לא,50
10,מחברי PCB ופסי חיבור,מערכת החיבורים,5,20,,לא,100
11,חומרי בידוד והדבקה (כגון סרט קפיטון),הרכבה ובידוד,20,5,,לא,100
12,רכיבי הגנה (כגון דיודות TVS) למעגל החשמלי,מערכת ההגנה,10,5,,לא,50
13,אנטנת PCB לתקשורת אלחוטית,מערכת התקשורת,30,5,,לא,150
14,תוכנה למיקרו-בקר (פיתוח עצמי),מערכת הבקרה,0,1,,לא,0
